[2025-07-03 10:34:31] Key: 0 | CPU: 7.5% | RAM: 90.8% | Disk: 7740103168 | Net: (26504594, 149191293) | Procs: 210
[2025-07-03 10:34:31] Key: m | CPU: 11.9% | RAM: 90.9% | Disk: 7740180992 | Net: (26504594, 149191355) | Procs: 210
[2025-07-03 10:34:31] Key: E | CPU: 7.5% | RAM: 90.8% | Disk: 7740180992 | Net: (26504594, 149191355) | Procs: 210
[2025-07-03 10:34:32] Key: J | CPU: 9.4% | RAM: 91.3% | Disk: 7740180992 | Net: (26504594, 149191409) | Procs: 210
[2025-07-03 10:34:32] Key: 3 | CPU: 9.8% | RAM: 91.1% | Disk: 7740180992 | Net: (26504594, 149191409) | Procs: 210
[2025-07-03 10:34:32] Key: L | CPU: 12.3% | RAM: 91.2% | Disk: 7740240384 | Net: (26504594, 149191409) | Procs: 210
[2025-07-03 10:34:33] Key: S | CPU: 6.5% | RAM: 91.3% | Disk: 7740240384 | Net: (26504594, 149191469) | Procs: 210
[2025-07-03 10:34:33] Key: J | CPU: 5.1% | RAM: 91.1% | Disk: 7740326400 | Net: (26504594, 149191593) | Procs: 210
[2025-07-03 10:34:33] Key: r | CPU: 0.0% | RAM: 91.1% | Disk: 7740326400 | Net: (26504594, 149191593) | Procs: 210
[2025-07-03 10:34:34] Key: 9 | CPU: 1.8% | RAM: 91.3% | Disk: 7740489216 | Net: (26504594, 149191593) | Procs: 210
[2025-07-03 10:34:34] Key: A | CPU: 5.6% | RAM: 92.0% | Disk: 7740489216 | Net: (26504594, 149191593) | Procs: 210
[2025-07-03 10:34:34] Key: o | CPU: 13.8% | RAM: 91.0% | Disk: 7740501504 | Net: (26504594, 149191593) | Procs: 210
[2025-07-03 10:34:35] Key: t | CPU: 6.2% | RAM: 92.8% | Disk: 7740538368 | Net: (26504594, 149191593) | Procs: 210
[2025-07-03 10:34:35] Key: N | CPU: 21.1% | RAM: 91.5% | Disk: 7740538368 | Net: (26504594, 149191593) | Procs: 210
[2025-07-03 10:34:35] Key: p | CPU: 6.8% | RAM: 90.8% | Disk: 7742838784 | Net: (26504594, 149191593) | Procs: 210
[2025-07-03 10:34:36] Key: H | CPU: 6.0% | RAM: 91.0% | Disk: 7742838784 | Net: (26504594, 149191653) | Procs: 210
[2025-07-03 10:34:36] Key: w | CPU: 1.2% | RAM: 91.0% | Disk: 7742838784 | Net: (26504594, 149191653) | Procs: 210
[2025-07-03 10:34:36] Key: Q | CPU: 0.6% | RAM: 91.0% | Disk: 7742838784 | Net: (26504594, 149191653) | Procs: 210
[2025-07-03 10:34:37] Key: K | CPU: 0.6% | RAM: 91.0% | Disk: 7747164160 | Net: (26504649, 149191719) | Procs: 210
[2025-07-03 10:34:37] Key: N | CPU: 0.6% | RAM: 91.0% | Disk: 7747164160 | Net: (26504649, 149191719) | Procs: 210
[2025-07-03 10:34:37] Key: u | CPU: 1.3% | RAM: 91.0% | Disk: 7747696640 | Net: (26504649, 149191719) | Procs: 210
[2025-07-03 10:34:37] Key: 6 | CPU: 0.0% | RAM: 91.0% | Disk: 7747696640 | Net: (26504649, 149191719) | Procs: 210
[2025-07-03 10:34:38] Key: S | CPU: 0.6% | RAM: 90.9% | Disk: 7749793792 | Net: (26504649, 149191779) | Procs: 210
[2025-07-03 10:34:38] Key: u | CPU: 0.6% | RAM: 90.9% | Disk: 7749797888 | Net: (26504732, 149191926) | Procs: 210
