cpu_usage,ram_usage,disk_write_bytes,net_sent,net_recv,process_count,keystrokes,mouse_clicks,mouse_moves,label
7.1,80.2,5213323264,10892265,87409046,177,0,0,0,0
4.7,80.2,5214085120,10892265,87409046,177,0,30,0,0
8.1,80.4,5214085120,10892265,87409168,179,0,45,0,0
3.5,80.4,5214085120,10892265,87409230,179,1,55,0,0
2.7,80.4,5214085120,10892265,87409408,179,0,0,1,0
6.0,80.3,5214257152,10892265,87409706,179,0,0,3,0
1.9,80.2,5214257152,10892265,87409706,179,0,0,0,0
6.2,79.7,5215728640,10892265,87409768,177,0,0,1,0
