cpu_usage,ram_usage,disk_write_bytes,net_sent,net_recv,process_count,keystrokes,mouse_clicks,mouse_moves,label
6,89.7,7609482240,26426659,149068757,204,0,0,0,0
0.2,89.7,7616080896,26426769,149069173,204,0,0,0,0
0.2,89.7,7621561344,26426769,149069525,204,0,0,0,0
1.7,89.5,7622705664,26428466,149071527,204,0,0,0,0
4.5,90.2,7623931904,26437396,149094395,208,0,0,0,0
1.1,89.8,7624535040,26437559,149095167,206,0,0,0,0
0.4,88.5,7624845312,26438300,149095739,205,0,0,0,0
0.4,88.5,7624861696,26438355,149096149,205,0,0,0,0
0.4,88.4,7625115648,26438355,149096959,205,0,0,0,0
0.3,88.4,7625445888,26438410,149097557,205,0,0,0,0
2.6,88.4,7625556992,26438519,149098427,205,0,2,215,0
3.3,88.7,7625762304,26445361,149108459,207,0,1,475,0
3.9,88.7,7626564608,26445511,149109021,207,0,2,186,0
3.2,89.3,7626877440,26445566,149109487,207,0,2,392,0
4.4,89.8,7629081088,26445649,149109988,210,0,1,429,0
3,89.6,7640185344,26445870,149110568,211,0,0,18,0
3,89.5,7646737408,26466930,149123648,210,0,0,0,0
2.5,89.2,7652987392,26467039,149124761,207,0,0,0,0
0.2,89.2,7653307904,26467738,149126142,207,0,0,0,0
0.1,89.1,7653460480,26467890,149126552,207,0,0,0,0
0.3,88.7,7653527040,26467890,149126958,207,0,0,0,0
2.4,88.8,7653862400,26467945,149127208,207,0,3,255,0
4.5,88.8,7653982208,26467945,149127568,206,0,1,424,0
3.6,89,7655034880,26472594,149136240,208,0,4,97,0
1.6,89,7656601600,26472636,149136696,208,0,1,224,0
2.8,89.1,7656950784,26472691,149136998,208,0,4,145,0
4,89.1,7657196032,26472691,149137406,206,0,1,158,0
2.2,88.9,7657468928,26472746,149137770,206,0,0,288,0
4.1,89.6,7659693568,26472801,149138182,206,0,1,465,0
4.4,89.4,7659887616,26472856,149138484,204,0,0,172,0
5.617283658,70.6353916,158574502,51864499,55886530,217,2,1,120,0
4.847417279,71.12178369,433171886,43087501,61919089,237,3,1,107,0
5.275684556,56.2252184,316118612,46795482,53590380,208,4,2,129,0
4.112713271,64.41755997,437866363,45077776,86433050,208,2,2,110,0
4.383600404,51.68139785,272520682,44931351,50241881,207,5,1,107,0
6.296640252,52.37294842,251616194,60742467,69354408,234,1,1,123,0
4.000034904,74.9723153,466024293,49833897,54929898,217,5,0,113,0
5.249697485,58.16598124,200467707,54325588,62307163,204,3,1,129,0
5.567530543,68.7045978,437684930,79580213,87042382,213,4,1,119,0
4.16390326,70.16662633,293608229,67372569,56467782,227,3,1,124,0
